codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-02-07,02,VALE3,010,VALE,ON,NM,R$,88.15,90.24,88.15,89.57,90.13,90.13,0,90147213800000,249158000.0,22319405.27,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-05,02,VALE3,010,VALE,ON,NM,R$,77.37,78.68,77.13,77.86,77.81,77.8,0,77817095100000,220390000.0,17160076.02,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-07,02,PETR4,010,PETROBRAS,PN,N2,R$,32.55,32.78,32.13,32.36,32.15,32.15,0,32167687400000,488681000.0,15818546.29,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-07,02,BRFS3,010,BRF SA,ON,NM,R$,18.83,18.83,17.59,18.29,18.37,18.35,0,18375142500000,362969000.0,6640806.42,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-05,02,PETR4,010,PETROBRAS,PN,N2,R$,29.19,29.27,27.94,28.52,28.07,28.06,0,28089193500000,784598000.0,22378383.46,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-05,02,BRFS3,010,BRF SA,ON,NM,R$,22.73,23.63,22.5,23.14,22.7,22.67,0,22714044600000,190054000.0,4398093.02,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-23,02,VALE3,010,VALE,ON,NM,R$,88.09,88.34,85.55,86.54,86.47,86.46,0,86476461500000,244138000.0,21128885.55,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-21,02,VALE3,010,VALE,ON,NM,R$,86.47,86.73,84.34,85.21,84.91,84.91,0,84928340200000,332100000.0,28300052.2,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-23,02,PETR4,010,PETROBRAS,PN,N2,R$,34.18,34.6,33.8,34.27,34.22,34.22,0,34233427300000,865301000.0,29661704.89,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-21,02,PETR4,010,PETROBRAS,PN,N2,R$,31.57,31.88,31.53,31.71,31.77,31.77,0,31788612400000,613454000.0,19453634.5,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-23,02,BRFS3,010,BRF SA,ON,NM,R$,19.48,19.7,18.46,18.98,18.46,18.45,0,18472457200000,126663000.0,2405125.49,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-21,02,BRFS3,010,BRF SA,ON,NM,R$,23.3,23.4,22.66,22.88,22.69,22.69,0,22702465800000,72792000.0,1665943.72,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-08,02,VALE3,010,VALE,ON,NM,R$,90.45,91.48,89.5,90.75,91.39,91.35,0,91397517200000,265986000.0,24139570.66,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-08,02,PETR4,010,PETROBRAS,PN,N2,R$,31.9,31.95,31.26,31.61,31.83,31.83,0,31851890700000,625900000.0,19788930.11,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-08,02,BRFS3,010,BRF SA,ON,NM,R$,18.4,18.54,18.13,18.34,18.35,18.35,0,18382338400000,122255000.0,2242858.73,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-06,02,VALE3,010,VALE,ON,NM,R$,78.64,80.35,78.31,79.62,79.38,79.38,0,79396945500000,220441000.0,17553656.19,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-06,02,PETR4,010,PETROBRAS,PN,N2,R$,28.29,28.65,27.84,28.21,28.05,28.02,0,28059498700000,611631000.0,17257208.47,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-06,02,BRFS3,010,BRF SA,ON,NM,R$,22.77,24.39,22.36,23.6,24.3,24.26,0,24304856800000,218159000.0,5148892.37,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-24,02,VALE3,010,VALE,ON,NM,R$,84.62,88.04,83.73,85.7,87.54,87.51,0,87578475200000,372125000.0,31892732.61,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-24,02,VALE3,010,VALE,ON,NM,R$,83.7,83.96,82.08,83.07,83.87,83.86,0,83879436000000,290401000.0,24124338.81,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-24,02,PETR4,010,PETROBRAS,PN,N2,R$,31.69,32.25,31.04,31.61,31.95,31.94,0,31952616000000,791171000.0,25015332.02,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-24,02,PETR4,010,PETROBRAS,PN,N2,R$,34.8,35.29,32.68,33.89,33.39,33.38,0,33390260700000,1396741000.0,47341990.84,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-24,02,BRFS3,010,BRF SA,ON,NM,R$,22.66,23.46,21.95,22.69,23.46,23.45,0,23472179600000,93436000.0,2120427.12,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-24,02,BRFS3,010,BRF SA,ON,NM,R$,17.78,17.78,16.8,17.27,17.34,17.33,0,17353756600000,198583000.0,3430403.51,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-09,02,VALE3,010,VALE,ON,NM,R$,90.0,91.8,89.33,90.93,91.41,91.41,0,91438047800000,248153000.0,22566066.65,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-09,02,PETR4,010,PETROBRAS,PN,N2,R$,31.74,32.69,31.65,32.22,31.95,31.95,0,31967871500000,509605000.0,16422757.64,0,0000000000009999123100000010000000000000BRPETRACNPR6201
